best_epoch,best_test_loss,final_train_loss,final_test_loss,final_accuracy_train,final_accuracy_test,num_epochs,early_stopping,eta,h1,h2,batch_size,dropout_rate,weight_decay,momentum
9,1.8519380707740785,1.7391783190965653,1.8818083715438843,0.39418745,0.343,19,True,0.01,32,32,16,0.1,0.0001,0.3
12,1.8591103463172913,1.7429991888999938,1.8784555029869079,0.39806247,0.33624995,22,True,0.001,32,32,16,0.1,0.0001,0.3
23,1.8516485829353333,1.7671064594984054,1.8721265940666199,0.38993746,0.33924997,33,True,0.0001,32,32,16,0.1,0.0001,0.3
8,1.8258984756469727,1.6957880952358246,1.870064154624939,0.4158125,0.3455,18,True,0.01,32,32,32,0.1,0.0001,0.3
10,1.838196039199829,1.7242961905002594,1.8449956254959106,0.4099375,0.352,20,True,0.001,32,32,32,0.1,0.0001,0.3
23,1.8473960647583008,1.7792343595027924,1.858546989440918,0.39406246,0.3505,33,True,0.0001,32,32,32,0.1,0.0001,0.3
12,1.8147472729758611,1.6769170637130737,1.8437662370621213,0.427,0.35763884,22,True,0.01,32,32,64,0.1,0.0001,0.3
14,1.8221473447860232,1.7164156632423402,1.852492922828311,0.41806245,0.35590273,24,True,0.001,32,32,64,0.1,0.0001,0.3
43,1.8249968479550074,1.7756703186035157,1.8369519237488035,0.39618748,0.3767361,53,True,0.0001,32,32,64,0.1,0.0001,0.3
8,1.8084150552749634,1.68669624710083,1.8500044904649258,0.42412496,0.37231445,18,True,0.01,32,32,128,0.1,0.0001,0.3
27,1.8175141140818596,1.6917445936203004,1.8381961584091187,0.433375,0.37670898,37,True,0.001,32,32,128,0.1,0.0001,0.3
55,1.8278231658041477,1.7929857215881349,1.8473404832184315,0.38849998,0.36206055,65,True,0.0001,32,32,128,0.1,0.0001,0.3
7,1.8616761832237243,1.7429775590896606,1.873255030632019,0.3903125,0.34475,17,True,0.01,32,64,16,0.1,0.0001,0.3
5,1.8622441234588623,1.769889664053917,1.8634780383110046,0.38562495,0.35074997,15,True,0.001,32,64,16,0.1,0.0001,0.3
29,1.871849355697632,1.753987916827202,1.881236421108246,0.39631248,0.34475,39,True,0.0001,32,64,16,0.1,0.0001,0.3
4,1.8319919061660768,1.7152446548938751,1.846342490196228,0.40618747,0.36324996,14,True,0.01,32,64,32,0.1,0.0001,0.3
12,1.8394647331237792,1.715414428949356,1.861562071800232,0.41737497,0.35849994,22,True,0.001,32,64,32,0.1,0.0001,0.3
26,1.844566210746765,1.7691402592658996,1.8660336961746216,0.40074998,0.35799998,36,True,0.0001,32,64,32,0.1,0.0001,0.3
12,1.8152012295193143,1.6734456667900086,1.8588894870546129,0.42999995,0.36135912,22,True,0.01,32,64,64,0.1,0.0001,0.3
20,1.825667182604472,1.6985216875076294,1.873309748513358,0.42424995,0.35094243,30,True,0.001,32,64,64,0.1,0.0001,0.3
34,1.836767726474338,1.7830211448669433,1.8464176673737784,0.3919375,0.36359125,44,True,0.0001,32,64,64,0.1,0.0001,0.3
9,1.809913419187069,1.6807107963562011,1.827229667454958,0.42881244,0.37524414,19,True,0.01,32,64,128,0.1,0.0001,0.3
14,1.8198600858449936,1.7335047931671144,1.8378044590353966,0.41356248,0.35913086,24,True,0.001,32,64,128,0.1,0.0001,0.3
44,1.8559335619211197,1.8125876760482789,1.8654765002429485,0.37787497,0.3503418,54,True,0.0001,32,64,128,0.1,0.0001,0.3
7,1.8502120800018311,1.7445347876548767,1.8719523339271544,0.38731247,0.35249996,17,True,0.01,32,128,16,0.1,0.0001,0.3
8,1.854756318092346,1.7508131614923477,1.8711718139648437,0.3926875,0.33924997,18,True,0.001,32,128,16,0.1,0.0001,0.3
19,1.8611288666725159,1.7851308021545411,1.8812769870758057,0.38112497,0.33374995,29,True,0.0001,32,128,16,0.1,0.0001,0.3
4,1.835232557296753,1.7151878576278687,1.841511833190918,0.40781248,0.35649997,14,True,0.01,32,128,32,0.1,0.0001,0.3
6,1.8410181484222412,1.735943913936615,1.8548245601654052,0.40468746,0.357,16,True,0.001,32,128,32,0.1,0.0001,0.3
36,1.8474792194366456,1.7523334262371064,1.855783805847168,0.4025625,0.35149997,46,True,0.0001,32,128,32,0.1,0.0001,0.3
8,1.8211992922283353,1.6913506669998168,1.8581979747802493,0.4245,0.35416663,18,True,0.01,32,128,64,0.1,0.0001,0.3
8,1.8189079326296609,1.7369254374504088,1.822093134834653,0.41068745,0.3692956,18,True,0.001,32,128,64,0.1,0.0001,0.3
67,1.8192663684723869,1.7523976140022277,1.828051975795201,0.40731245,0.3695436,77,True,0.0001,32,128,64,0.1,0.0001,0.3
11,1.8134225904941559,1.6786614418029786,1.848097249865532,0.4290625,0.35058594,21,True,0.01,32,128,128,0.1,0.0001,0.3
14,1.811753824353218,1.734512692451477,1.8283072263002396,0.41318744,0.37280273,24,True,0.001,32,128,128,0.1,0.0001,0.3
45,1.8520726412534714,1.8052036571502685,1.8557781428098679,0.37981248,0.36206055,55,True,0.0001,32,128,128,0.1,0.0001,0.3
14,1.851510443687439,1.717742906332016,1.8680531892776489,0.40143746,0.34499997,24,True,0.01,32,256,16,0.1,0.0001,0.3
7,1.8547576274871826,1.7571964926719665,1.8752094225883484,0.39449996,0.34875,17,True,0.001,32,256,16,0.1,0.0001,0.3
24,1.8656868839263916,1.7646753735542298,1.8739832634925842,0.39262497,0.34149998,34,True,0.0001,32,256,16,0.1,0.0001,0.3
14,1.82643363571167,1.6803745725154877,1.8716157331466674,0.41924995,0.34199995,24,True,0.01,32,256,32,0.1,0.0001,0.3
15,1.836341456413269,1.7073456616401672,1.8590920734405518,0.418625,0.35149997,25,True,0.001,32,256,32,0.1,0.0001,0.3
30,1.8423865957260133,1.7658888740539551,1.8617384376525878,0.39612496,0.35999995,40,True,0.0001,32,256,32,0.1,0.0001,0.3
8,1.8042684698861742,1.691105083465576,1.8273283356711978,0.41849995,0.3695436,18,True,0.01,32,256,64,0.1,0.0001,0.3
10,1.8296295063836234,1.7170650553703308,1.8477132812378898,0.42418748,0.3588789,20,True,0.001,32,256,64,0.1,0.0001,0.3
44,1.828420429002671,1.7730721025466918,1.8441048141509768,0.39918745,0.3658234,54,True,0.0001,32,256,64,0.1,0.0001,0.3
16,1.8067285679280758,1.6612207832336425,1.866036243736744,0.44106245,0.34887695,26,True,0.01,32,256,128,0.1,0.0001,0.3
18,1.8181831166148186,1.710876519203186,1.8204930275678635,0.42306244,0.3708496,28,True,0.001,32,256,128,0.1,0.0001,0.3
70,1.8342378623783588,1.7835703058242798,1.8415741994976997,0.39381248,0.36865234,80,True,0.0001,32,256,128,0.1,0.0001,0.3
11,1.8478813648223877,1.7261760627031326,1.872682616710663,0.39349997,0.33975,21,True,0.01,32,512,16,0.1,0.0001,0.3
5,1.8635847220420838,1.7628916813135147,1.871131754398346,0.39049995,0.33699995,15,True,0.001,32,512,16,0.1,0.0001,0.3
33,1.861379168510437,1.7503990556001663,1.8825063605308532,0.39493746,0.3315,43,True,0.0001,32,512,16,0.1,0.0001,0.3
8,1.8304356002807618,1.6978763885498047,1.8617904386520385,0.41268748,0.3455,18,True,0.01,32,512,32,0.1,0.0001,0.3
11,1.8340833759307862,1.721892389535904,1.8621058111190796,0.41468745,0.35524994,21,True,0.001,32,512,32,0.1,0.0001,0.3
27,1.8486139974594116,1.7742832028865814,1.854241213798523,0.3920625,0.36275,37,True,0.0001,32,512,32,0.1,0.0001,0.3
8,1.8156439065933228,1.6883687362670898,1.8181620098295665,0.42487496,0.36359125,18,True,0.01,32,512,64,0.1,0.0001,0.3
17,1.8317267459536355,1.699848464012146,1.8509723894179813,0.42537498,0.34995037,27,True,0.001,32,512,64,0.1,0.0001,0.3
39,1.8347382867147053,1.774262755393982,1.8426292358882843,0.39999998,0.36483133,49,True,0.0001,32,512,64,0.1,0.0001,0.3
7,1.8060868605971336,1.6972818222045898,1.8407028689980507,0.42374998,0.3618164,17,True,0.01,32,512,128,0.1,0.0001,0.3
25,1.812928132712841,1.6926091384887696,1.8449007533490658,0.43425,0.36108398,35,True,0.001,32,512,128,0.1,0.0001,0.3
59,1.8325387425720692,1.7988880643844605,1.8328149914741516,0.38512498,0.37402344,69,True,0.0001,32,512,128,0.1,0.0001,0.3
10,1.8480063557624817,1.7295802320241929,1.866024353504181,0.395625,0.348,20,True,0.01,64,32,16,0.1,0.0001,0.3
7,1.8624295921325684,1.7514561307430268,1.8732094616889954,0.39468747,0.34074998,17,True,0.001,64,32,16,0.1,0.0001,0.3
24,1.8698450503349304,1.7679530676603317,1.8775409798622131,0.38812494,0.33774996,34,True,0.0001,64,32,16,0.1,0.0001,0.3
8,1.8316540870666504,1.703493420124054,1.8534041032791138,0.4125625,0.35349995,18,True,0.01,64,32,32,0.1,0.0001,0.3
10,1.8372012186050415,1.7134919426441193,1.859288143157959,0.41843748,0.35174996,20,True,0.001,64,32,32,0.1,0.0001,0.3
29,1.8395916061401367,1.761186866760254,1.8479663391113281,0.39599997,0.353,39,True,0.0001,64,32,32,0.1,0.0001,0.3
7,1.8110756173966422,1.69116170835495,1.8461646598482888,0.42343748,0.35838288,17,True,0.01,64,32,64,0.1,0.0001,0.3
11,1.8178342807860601,1.714480448246002,1.8279521805899483,0.41962498,0.3695436,21,True,0.001,64,32,64,0.1,0.0001,0.3
55,1.8277121384938557,1.753830020904541,1.853019154261029,0.4035625,0.36235118,65,True,0.0001,64,32,64,0.1,0.0001,0.3
13,1.8120913170278072,1.6723805351257324,1.833470944315195,0.432625,0.36743164,23,True,0.01,64,32,128,0.1,0.0001,0.3
22,1.8149858675897121,1.7046351528167725,1.830619890242815,0.42724997,0.3725586,32,True,0.001,64,32,128,0.1,0.0001,0.3
53,1.83506765589118,1.7997728605270387,1.8425942584872246,0.387375,0.36914062,63,True,0.0001,64,32,128,0.1,0.0001,0.3
4,1.8462739272117614,1.7525983959436418,1.8754787969589233,0.39556247,0.33824998,14,True,0.01,64,64,16,0.1,0.0001,0.3
11,1.8508197917938232,1.7448043820858001,1.877559507369995,0.39393747,0.339,21,True,0.001,64,64,16,0.1,0.0001,0.3
31,1.8615497784614563,1.7466954377889634,1.8801176681518554,0.40099996,0.33774996,41,True,0.0001,64,64,16,0.1,0.0001,0.3
8,1.8265284175872802,1.6988855729103087,1.864381791114807,0.4116875,0.34999996,18,True,0.01,64,64,32,0.1,0.0001,0.3
14,1.8393827314376832,1.710140837430954,1.8704168043136598,0.41649997,0.33774996,24,True,0.001,64,64,32,0.1,0.0001,0.3
36,1.8410236139297484,1.7665461189746856,1.8493589897155762,0.39581245,0.35824996,46,True,0.0001,64,64,32,0.1,0.0001,0.3
8,1.8208312761215937,1.6823433227539062,1.849392434907338,0.42312497,0.3628472,18,True,0.01,64,64,64,0.1,0.0001,0.3
22,1.8239305719496712,1.6903163423538208,1.8599778035330394,0.42768747,0.35912693,32,True,0.001,64,64,64,0.1,0.0001,0.3
32,1.8417544062175448,1.7862185916900635,1.8448413951056344,0.38774997,0.36111104,42,True,0.0001,64,64,64,0.1,0.0001,0.3
11,1.8092038929462433,1.681761375427246,1.8281740099191666,0.42549998,0.3762207,21,True,0.01,64,64,128,0.1,0.0001,0.3
22,1.816926971077919,1.7097186527252197,1.8241999298334122,0.42668748,0.3671875,32,True,0.001,64,64,128,0.1,0.0001,0.3
69,1.8433972150087357,1.7805608015060426,1.8547377362847328,0.39418745,0.35620117,79,True,0.0001,64,64,128,0.1,0.0001,0.3
10,1.8480615811347962,1.7232560150623322,1.885604853630066,0.39631248,0.33749998,20,True,0.01,64,128,16,0.1,0.0001,0.3
16,1.8604615969657898,1.7329813838005066,1.885508641242981,0.40099996,0.33349997,26,True,0.001,64,128,16,0.1,0.0001,0.3
18,1.8660323147773743,1.7862015051841735,1.8813792934417726,0.37731248,0.34149998,28,True,0.0001,64,128,16,0.1,0.0001,0.3
7,1.817570629119873,1.702545493364334,1.8577581214904786,0.4133125,0.35274994,17,True,0.01,64,128,32,0.1,0.0001,0.3
20,1.8382370290756225,1.6920150878429412,1.8781867990493775,0.41881245,0.34649998,30,True,0.001,64,128,32,0.1,0.0001,0.3
36,1.8419232559204102,1.754112681388855,1.855909231185913,0.40324998,0.35924995,46,True,0.0001,64,128,32,0.1,0.0001,0.3
8,1.8185310647601174,1.6894798197746277,1.8285018413785905,0.42668748,0.3660714,18,True,0.01,64,128,64,0.1,0.0001,0.3
14,1.8242904250583951,1.7165405502319335,1.8368400884053064,0.422,0.3710317,24,True,0.001,64,128,64,0.1,0.0001,0.3
66,1.8187223975620572,1.7518167181015014,1.8389107613336473,0.40493745,0.3628472,76,True,0.0001,64,128,64,0.1,0.0001,0.3
5,1.806251559406519,1.7029167852401734,1.8204694986343384,0.42062497,0.37329102,15,True,0.01,64,128,128,0.1,0.0001,0.3
12,1.8184043057262897,1.7277096948623658,1.835164025425911,0.41881245,0.3779297,22,True,0.001,64,128,128,0.1,0.0001,0.3
37,1.8474241569638252,1.8143979568481445,1.8534103482961655,0.37781245,0.3684082,47,True,0.0001,64,128,128,0.1,0.0001,0.3
8,1.8463460564613343,1.7330954294204712,1.874013023376465,0.39556247,0.34199995,18,True,0.01,64,256,16,0.1,0.0001,0.3
15,1.8537423124313355,1.725972551226616,1.8859837336540222,0.403,0.33424997,25,True,0.001,64,256,16,0.1,0.0001,0.3
20,1.8595969405174255,1.7767337168455124,1.8697722783088684,0.38631248,0.343,30,True,0.0001,64,256,16,0.1,0.0001,0.3
9,1.8336601448059082,1.6879817769527434,1.870638256072998,0.41756248,0.35599995,19,True,0.01,64,256,32,0.1,0.0001,0.3
17,1.8415347776412965,1.693652557849884,1.8555125150680543,0.42074996,0.35424995,27,True,0.001,64,256,32,0.1,0.0001,0.3
26,1.8451186513900757,1.7779641749858857,1.8540593729019166,0.3926875,0.35099995,36,True,0.0001,64,256,32,0.1,0.0001,0.3
4,1.8149008486005995,1.7065661072731018,1.8216066530772619,0.41387498,0.37549597,14,True,0.01,64,256,64,0.1,0.0001,0.3
16,1.8310919224269806,1.7050366649627686,1.849803025760348,0.424375,0.36111104,26,True,0.001,64,256,64,0.1,0.0001,0.3
53,1.8273899347063094,1.7613707675933838,1.8276423840295701,0.4066875,0.3675595,63,True,0.0001,64,256,64,0.1,0.0001,0.3
11,1.8112313151359558,1.683469614982605,1.833617091178894,0.42499995,0.36914062,21,True,0.01,64,256,128,0.1,0.0001,0.3
17,1.818377010524273,1.7169052486419678,1.8350029923021793,0.42106247,0.3725586,27,True,0.001,64,256,128,0.1,0.0001,0.3
74,1.8320959769189358,1.7748955144882201,1.8388560824096203,0.39549994,0.35888672,84,True,0.0001,64,256,128,0.1,0.0001,0.3
8,1.8487102537155151,1.7361558816432954,1.8646483359336854,0.39299995,0.33549994,18,True,0.01,64,512,16,0.1,0.0001,0.3
11,1.8489387350082398,1.7453803925514222,1.8793382134437562,0.39181244,0.34524995,21,True,0.001,64,512,16,0.1,0.0001,0.3
26,1.8553282828330995,1.7622773934602738,1.8810556735992432,0.3911875,0.32949996,36,True,0.0001,64,512,16,0.1,0.0001,0.3
8,1.8319892492294312,1.7003500173091888,1.8774666566848754,0.41012496,0.34674996,18,True,0.01,64,512,32,0.1,0.0001,0.3
7,1.8389256591796874,1.737451894044876,1.8576598625183105,0.40818745,0.34899998,17,True,0.001,64,512,32,0.1,0.0001,0.3
38,1.835939208984375,1.751840564250946,1.8596612205505372,0.40599996,0.35249996,48,True,0.0001,64,512,32,0.1,0.0001,0.3
9,1.8146405749850802,1.688207908153534,1.8211077205718509,0.4240625,0.36631942,19,True,0.01,64,512,64,0.1,0.0001,0.3
11,1.8237282472943503,1.7163643064498901,1.8439606730900113,0.41562498,0.36408728,21,True,0.001,64,512,64,0.1,0.0001,0.3
34,1.8439929579931593,1.7872737383842467,1.8449848984915114,0.38906246,0.36309522,44,True,0.0001,64,512,64,0.1,0.0001,0.3
6,1.8162583708763123,1.6991976432800293,1.8178966492414474,0.42431247,0.3701172,16,True,0.01,64,512,128,0.1,0.0001,0.3
22,1.824198491871357,1.7103739051818847,1.8522855751216412,0.42574996,0.34960938,32,True,0.001,64,512,128,0.1,0.0001,0.3
67,1.830773789435625,1.7794084138870239,1.8484551422297955,0.3943125,0.35864258,77,True,0.0001,64,512,128,0.1,0.0001,0.3
12,1.8489677114486693,1.7200206952095032,1.875679430961609,0.39906245,0.34225,22,True,0.01,128,32,16,0.1,0.0001,0.3
10,1.8575922985076905,1.74249192237854,1.8886450815200806,0.39643747,0.33524996,20,True,0.001,128,32,16,0.1,0.0001,0.3
15,1.864318545818329,1.790184942126274,1.8763269267082214,0.38099998,0.33924997,25,True,0.0001,128,32,16,0.1,0.0001,0.3
7,1.830881152153015,1.7017170944213866,1.8632736225128175,0.41012496,0.34724998,17,True,0.01,128,32,32,0.1,0.0001,0.3
10,1.839501340866089,1.7179761459827423,1.8604749240875245,0.413,0.34499997,20,True,0.001,128,32,32,0.1,0.0001,0.3
23,1.843388656616211,1.7810498220920563,1.8516554412841797,0.38937497,0.35599995,33,True,0.0001,128,32,32,0.1,0.0001,0.3
10,1.8197552930741083,1.6845274119377136,1.840406510565016,0.426875,0.3539186,20,True,0.01,128,32,64,0.1,0.0001,0.3
8,1.8256013242025224,1.7289365038871765,1.8483985416472903,0.41312498,0.35987097,18,True,0.001,128,32,64,0.1,0.0001,0.3
55,1.827361540188865,1.756903440952301,1.8314648469289143,0.40781248,0.37301582,65,True,0.0001,128,32,64,0.1,0.0001,0.3
14,1.8060342781245708,1.664746244430542,1.841343805193901,0.43462497,0.36694336,24,True,0.01,128,32,128,0.1,0.0001,0.3
25,1.8111041076481342,1.6961804141998291,1.8364988267421722,0.42918748,0.37451172,35,True,0.001,128,32,128,0.1,0.0001,0.3
38,1.860608071088791,1.8246321992874146,1.865873672068119,0.37387496,0.3474121,48,True,0.0001,128,32,128,0.1,0.0001,0.3
6,1.846142119884491,1.7413872101306915,1.8824797792434693,0.3926875,0.34124994,16,True,0.01,128,64,16,0.1,0.0001,0.3
12,1.8556267232894899,1.7421108045578002,1.891683217525482,0.40006244,0.33574998,22,True,0.001,128,64,16,0.1,0.0001,0.3
19,1.867666802406311,1.7705885367393495,1.8712819771766662,0.39087498,0.34924996,29,True,0.0001,128,64,16,0.1,0.0001,0.3
12,1.8304300203323365,1.6858366904258728,1.875178822517395,0.4195,0.34524995,22,True,0.01,128,64,32,0.1,0.0001,0.3
8,1.8440491704940796,1.7316146404743196,1.8751386051177978,0.407125,0.34349996,18,True,0.001,128,64,32,0.1,0.0001,0.3
20,1.8551915578842164,1.7803998670578003,1.8552883338928223,0.38974994,0.35724998,30,True,0.0001,128,64,32,0.1,0.0001,0.3
5,1.8230112109865462,1.7033321700096131,1.8231910202238295,0.4208125,0.36656743,15,True,0.01,128,64,64,0.1,0.0001,0.3
12,1.8238947997017512,1.7182345409393311,1.8428204835407318,0.4191875,0.36904758,22,True,0.001,128,64,64,0.1,0.0001,0.3
42,1.8356876676044767,1.7760659685134887,1.837510687964303,0.38906246,0.37028766,52,True,0.0001,128,64,64,0.1,0.0001,0.3
6,1.80740200355649,1.7015778856277466,1.8278071247041225,0.42181247,0.36621094,16,True,0.01,128,64,128,0.1,0.0001,0.3
26,1.8167802020907402,1.6935162658691407,1.8440745025873184,0.43212497,0.36254883,36,True,0.001,128,64,128,0.1,0.0001,0.3
59,1.8328446336090565,1.7901629676818849,1.8400924801826477,0.39131248,0.36889648,69,True,0.0001,128,64,128,0.1,0.0001,0.3
6,1.8505003790855408,1.752616442322731,1.8738468503952026,0.38756245,0.34724998,16,True,0.01,128,128,16,0.1,0.0001,0.3
11,1.8552804164886474,1.7379734984636306,1.8696971130371094,0.39881247,0.34749997,21,True,0.001,128,128,16,0.1,0.0001,0.3
26,1.8527023830413818,1.7682909562587739,1.8737654604911804,0.38968748,0.33975,36,True,0.0001,128,128,16,0.1,0.0001,0.3
8,1.8325469722747803,1.6980575726032257,1.8490135669708252,0.414625,0.35524994,18,True,0.01,128,128,32,0.1,0.0001,0.3
12,1.8360654458999635,1.718579819202423,1.8552446660995483,0.41375,0.35749996,22,True,0.001,128,128,32,0.1,0.0001,0.3
33,1.8405815706253053,1.7598594756126404,1.8580205001831054,0.40131247,0.35399997,43,True,0.0001,128,128,32,0.1,0.0001,0.3
13,1.812402263520256,1.6691074256896972,1.8494536573924716,0.43093747,0.35813487,23,True,0.01,128,128,64,0.1,0.0001,0.3
17,1.821588917384072,1.6992992238998412,1.8371351295047336,0.42537498,0.35739082,27,True,0.001,128,128,64,0.1,0.0001,0.3
36,1.8375976199195498,1.788439579963684,1.8574223840047444,0.39087498,0.3571428,46,True,0.0001,128,128,64,0.1,0.0001,0.3
6,1.8123399205505848,1.6981965579986573,1.8465862609446049,0.424375,0.35986328,16,True,0.01,128,128,128,0.1,0.0001,0.3
17,1.815457921475172,1.7213176679611206,1.8278726749122143,0.41824996,0.37231445,27,True,0.001,128,128,128,0.1,0.0001,0.3
45,1.8370791748166084,1.8101518297195434,1.8421359322965145,0.38156247,0.36547852,55,True,0.0001,128,128,128,0.1,0.0001,0.3
5,1.8455194540023803,1.7463072217702866,1.8691568398475646,0.390625,0.33949995,15,True,0.01,128,256,16,0.1,0.0001,0.3
5,1.8580870513916015,1.772567036986351,1.8627392611503601,0.38274997,0.34699994,15,True,0.001,128,256,16,0.1,0.0001,0.3
22,1.8557941617965699,1.770617780327797,1.870650845527649,0.38612497,0.34899998,32,True,0.0001,128,256,16,0.1,0.0001,0.3
10,1.8230647192001344,1.6930811095237732,1.8854640254974364,0.41618747,0.34649998,20,True,0.01,128,256,32,0.1,0.0001,0.3
12,1.8402312259674072,1.7175962371826172,1.857694317817688,0.41024995,0.36099994,22,True,0.001,128,256,32,0.1,0.0001,0.3
17,1.8539468002319337,1.7965114014148713,1.8576446142196654,0.38537496,0.36124998,27,True,0.0001,128,256,32,0.1,0.0001,0.3
9,1.8071694203785487,1.681900664806366,1.8573235443660192,0.4285,0.3536706,19,True,0.01,128,256,64,0.1,0.0001,0.3
9,1.8213296825923617,1.7242719035148621,1.8284808302682543,0.41718745,0.3745039,19,True,0.001,128,256,64,0.1,0.0001,0.3
58,1.8228323289326258,1.753524374961853,1.8281906540431674,0.40306246,0.36359125,68,True,0.0001,128,256,64,0.1,0.0001,0.3
6,1.812620211392641,1.6930701122283935,1.820976935327053,0.42793745,0.3725586,16,True,0.01,128,256,128,0.1,0.0001,0.3
20,1.822116769850254,1.7106126976013183,1.8267940506339073,0.4248125,0.36987305,30,True,0.001,128,256,128,0.1,0.0001,0.3
62,1.8350961208343506,1.7871691818237305,1.8394052125513554,0.3911875,0.3647461,72,True,0.0001,128,256,128,0.1,0.0001,0.3
4,1.8450441298484803,1.7438763283491134,1.8650032081604004,0.39593744,0.34674996,14,True,0.01,128,512,16,0.1,0.0001,0.3
7,1.851787075996399,1.7555468360185622,1.8729053173065187,0.39412498,0.34475,17,True,0.001,128,512,16,0.1,0.0001,0.3
